"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM3573910",2.02615930777282,"GSE125437","NCBI-counts",6,6,"NOMO1.BAY1251152.8h_Rep1","cell line: NOMO-1 | agent: BAY-1251152 | concentration: 0.05 uM | time point (hours): 8 | mll fusion type: MLL-AF",16502154,"BAY-1251152","NOMO-1",NA,FALSE,"BAY-1251152","high"
"GSM3573911",2.06137919753973,"GSE125437","NCBI-counts",6,6,"NOMO1.BAY1251152.8h_Rep2","cell line: NOMO-1 | agent: BAY-1251152 | concentration: 0.05 uM | time point (hours): 8 | mll fusion type: MLL-AF",19570513,"BAY-1251152","NOMO-1",NA,FALSE,"BAY-1251152","high"
"GSM3573912",2.0069718668714,"GSE125437","NCBI-counts",6,6,"NOMO1.BAY1251152.8h_Rep3","cell line: NOMO-1 | agent: BAY-1251152 | concentration: 0.05 uM | time point (hours): 8 | mll fusion type: MLL-AF",17586222,"BAY-1251152","NOMO-1",NA,FALSE,"BAY-1251152","high"
"GSM3573913",2.32881075890611,"GSE125437","NCBI-counts",6,6,"NOMO1.OTX015.8h_Rep1","cell line: NOMO-1 | agent: OTX015 | concentration: 1uM | time point (hours): 8 | mll fusion type: MLL-AF",17862394,"OTX015","NOMO-1",NA,FALSE,"OTX015","high"
"GSM3573914",2.30524420275357,"GSE125437","NCBI-counts",6,6,"NOMO1.OTX015.8h_Rep2","cell line: NOMO-1 | agent: OTX015 | concentration: 1uM | time point (hours): 8 | mll fusion type: MLL-AF",12001509,"OTX015","NOMO-1",NA,FALSE,"OTX015","high"
"GSM3573915",2.35844359840079,"GSE125437","NCBI-counts",6,6,"NOMO1.OTX015.8h_Rep3","cell line: NOMO-1 | agent: OTX015 | concentration: 1uM | time point (hours): 8 | mll fusion type: MLL-AF",9951562,"OTX015","NOMO-1",NA,FALSE,"OTX015","high"
"GSM3573916",1.51303821615444,"GSE125437","NCBI-counts",6,6,"Jurkat.BAY1251152.8h_Rep1","cell line: Jurkat | agent: BAY-1251152 | concentration: 0.05 uM | time point (hours): 8 | mll fusion type: MLL-WT",14522999,"BAY-1251152","Jurkat",NA,FALSE,"BAY-1251152","high"
"GSM3573917",1.52318347181061,"GSE125437","NCBI-counts",6,6,"Jurkat.BAY1251152.8h_Rep2","cell line: Jurkat | agent: BAY-1251152 | concentration: 0.05 uM | time point (hours): 8 | mll fusion type: MLL-WT",18186296,"BAY-1251152","Jurkat",NA,FALSE,"BAY-1251152","high"
"GSM3573918",1.32858266396744,"GSE125437","NCBI-counts",6,6,"Jurkat.OTX015.8h_Rep1","cell line: Jurkat | agent: OTX015 | concentration: 1uM | time point (hours): 8 | mll fusion type: MLL-WT",18790064,"OTX015","Jurkat",NA,FALSE,"OTX015","high"
"GSM3573919",1.33460096952186,"GSE125437","NCBI-counts",6,6,"Jurkat.OTX015.8h_Rep2","cell line: Jurkat | agent: OTX015 | concentration: 1uM | time point (hours): 8 | mll fusion type: MLL-WT",19090951,"OTX015","Jurkat",NA,FALSE,"OTX015","high"
"GSM3573920",1.31602275954516,"GSE125437","NCBI-counts",6,6,"Jurkat.OTX015.8h_Rep3","cell line: Jurkat | agent: OTX015 | concentration: 1uM | time point (hours): 8 | mll fusion type: MLL-WT",14678604,"OTX015","Jurkat",NA,FALSE,"OTX015","high"
"GSM3573921",1.40270521097686,"GSE125437","NCBI-counts",6,6,"MV411.BAY155.24h_Rep1","cell line: MV4-11 | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",23324059,"BAY-155","MV4-11",NA,FALSE,"BAY-155","high"
"GSM3573922",1.3808296728392,"GSE125437","NCBI-counts",6,6,"MV411.BAY155.24h_Rep2","cell line: MV4-11 | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",25510572,"BAY-155","MV4-11",NA,FALSE,"BAY-155","high"
"GSM3573923",1.40778740710157,"GSE125437","NCBI-counts",6,6,"MV411.BAY155.24h_Rep3","cell line: MV4-11 | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",11396301,"BAY-155","MV4-11",NA,FALSE,"BAY-155","high"
"GSM3573924",1.33419872477826,"GSE125437","NCBI-counts",6,6,"MOLM13.BAY155.24h_Rep1","cell line: MOLM-13 | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",15597081,"BAY-155","MOLM-13",NA,FALSE,"BAY-155","high"
"GSM3573925",1.28259699574644,"GSE125437","NCBI-counts",6,6,"MOLM13.BAY155.24h_Rep2","cell line: MOLM-13 | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",16316749,"BAY-155","MOLM-13",NA,FALSE,"BAY-155","high"
"GSM3573926",1.36004699104154,"GSE125437","NCBI-counts",6,6,"MOLM13.BAY155.24h_Rep3","cell line: MOLM-13 | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",13205349,"BAY-155","MOLM-13",NA,FALSE,"BAY-155","high"
"GSM3573927",1.81752071259095,"GSE125437","NCBI-counts",6,6,"MV411.Brequinar.24h_Rep1","cell line: MV4-11 | agent: Brequinar | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",8540208,"Brequinar","MV4-11",NA,FALSE,"Brequinar","high"
"GSM3573928",1.7797584035994,"GSE125437","NCBI-counts",6,6,"MV411.Brequinar.24h_Rep2","cell line: MV4-11 | agent: Brequinar | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",18635420,"Brequinar","MV4-11",NA,FALSE,"Brequinar","high"
"GSM3573929",1.80015724841945,"GSE125437","NCBI-counts",6,6,"MV411.Brequinar.24h_Rep3","cell line: MV4-11 | agent: Brequinar | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",10571526,"Brequinar","MV4-11",NA,FALSE,"Brequinar","high"
"GSM3573930",1.97565278632572,"GSE125437","NCBI-counts",6,6,"MV411.DMSO.24h_Rep1","cell line: MV4-11 | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-AF",23275897,"DMSO","MV4-11",NA,TRUE,"control","control"
"GSM3573931",1.98314609912483,"GSE125437","NCBI-counts",6,6,"MV411.DMSO.24h_Rep2","cell line: MV4-11 | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-AF",13219847,"DMSO","MV4-11",NA,TRUE,"control","control"
"GSM3573932",1.94753163825326,"GSE125437","NCBI-counts",6,6,"MV411.DMSO.24h_Rep3","cell line: MV4-11 | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-AF",18367534,"DMSO","MV4-11",NA,TRUE,"control","control"
"GSM3573933",1.16996859051932,"GSE125437","NCBI-counts",6,6,"MOLM13.Brequinar.24h_Rep1","cell line: MOLM-13 | agent: Brequinar | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",17971940,"Brequinar","MOLM-13",NA,FALSE,"Brequinar","high"
"GSM3573934",1.2239717094225,"GSE125437","NCBI-counts",6,6,"MOLM13.Brequinar.24h_Rep2","cell line: MOLM-13 | agent: Brequinar | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",17005962,"Brequinar","MOLM-13",NA,FALSE,"Brequinar","high"
"GSM3573935",1.24057734990974,"GSE125437","NCBI-counts",6,6,"MOLM13.Brequinar.24h_Rep3","cell line: MOLM-13 | agent: Brequinar | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",10417791,"Brequinar","MOLM-13",NA,FALSE,"Brequinar","high"
"GSM3573936",1.49663141971199,"GSE125437","NCBI-counts",6,6,"MOLM13.DMSO.24h_Rep1","cell line: MOLM-13 | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-AF",18685427,"DMSO","MOLM-13",NA,TRUE,"control","control"
"GSM3573937",1.4739228738561,"GSE125437","NCBI-counts",6,6,"MOLM13.DMSO.24h_Rep2","cell line: MOLM-13 | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-AF",17277481,"DMSO","MOLM-13",NA,TRUE,"control","control"
"GSM3573938",1.46301308005792,"GSE125437","NCBI-counts",6,6,"MOLM13.DMSO.24h_Rep3","cell line: MOLM-13 | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-AF",19281730,"DMSO","MOLM-13",NA,TRUE,"control","control"
"GSM3573939",1.37352933844452,"GSE125437","NCBI-counts",6,6,"NOMO1.BAY155.24h_Rep1","cell line: NOMO-1 | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",17598970,"BAY-155","NOMO-1",NA,FALSE,"BAY-155","high"
"GSM3573940",1.27507450211504,"GSE125437","NCBI-counts",6,6,"NOMO1.BAY155.24h_Rep2","cell line: NOMO-1 | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",13962572,"BAY-155","NOMO-1",NA,FALSE,"BAY-155","high"
"GSM3573941",1.33044940459296,"GSE125437","NCBI-counts",6,6,"NOMO1.BAY155.24h_Rep3","cell line: NOMO-1 | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",13726753,"BAY-155","NOMO-1",NA,FALSE,"BAY-155","high"
"GSM3573942",1.9256207316689,"GSE125437","NCBI-counts",6,6,"NOMO1.Brequinar.24h_Rep1","cell line: NOMO-1 | agent: Brequinar | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",12541218,"Brequinar","NOMO-1",NA,FALSE,"Brequinar","high"
"GSM3573943",1.93885123286991,"GSE125437","NCBI-counts",6,6,"NOMO1.Brequinar.24h_Rep2","cell line: NOMO-1 | agent: Brequinar | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",11344324,"Brequinar","NOMO-1",NA,FALSE,"Brequinar","high"
"GSM3573944",2.00791933438745,"GSE125437","NCBI-counts",6,6,"NOMO1.Brequinar.24h_Rep3","cell line: NOMO-1 | agent: Brequinar | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-AF",12875471,"Brequinar","NOMO-1",NA,FALSE,"Brequinar","high"
"GSM3573945",2.14921880768524,"GSE125437","NCBI-counts",6,6,"NOMO1.DMSO.24h_Rep1","cell line: NOMO-1 | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-AF",19551896,"DMSO","NOMO-1",NA,TRUE,"control","control"
"GSM3573946",2.19205467321913,"GSE125437","NCBI-counts",6,6,"NOMO1.DMSO.24h_Rep2","cell line: NOMO-1 | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-AF",17001923,"DMSO","NOMO-1",NA,TRUE,"control","control"
"GSM3573947",2.14835613808951,"GSE125437","NCBI-counts",6,6,"NOMO1.DMSO.24h_Rep3","cell line: NOMO-1 | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-AF",18522973,"DMSO","NOMO-1",NA,TRUE,"control","control"
"GSM3573948",1.87715386847154,"GSE125437","NCBI-counts",6,6,"Jurkat.BAY155.24h_Rep1","cell line: Jurkat | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-WT",17046263,"BAY-155","Jurkat",NA,FALSE,"BAY-155","high"
"GSM3573949",1.83594052409395,"GSE125437","NCBI-counts",6,6,"Jurkat.BAY155.24h_Rep2","cell line: Jurkat | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-WT",16619148,"BAY-155","Jurkat",NA,FALSE,"BAY-155","high"
"GSM3573950",1.87081712674791,"GSE125437","NCBI-counts",6,6,"Jurkat.BAY155.24h_Rep3","cell line: Jurkat | agent: BAY-155 | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-WT",14655095,"BAY-155","Jurkat",NA,FALSE,"BAY-155","high"
"GSM3573951",1.64510046032558,"GSE125437","NCBI-counts",6,6,"Jurkat.Brequinar.24h_Rep1","cell line: Jurkat | agent: Brequinar | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-WT",11994049,"Brequinar","Jurkat",NA,FALSE,"Brequinar","high"
"GSM3573952",1.67791552455662,"GSE125437","NCBI-counts",6,6,"Jurkat.Brequinar.24h_Rep2","cell line: Jurkat | agent: Brequinar | concentration: 2uM | time point (hours): 24 | mll fusion type: MLL-WT",17851146,"Brequinar","Jurkat",NA,FALSE,"Brequinar","high"
"GSM3573953",1.75870132429798,"GSE125437","NCBI-counts",6,6,"Jurkat.DMSO.24h_Rep1","cell line: Jurkat | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-WT",15798264,"DMSO","Jurkat",NA,TRUE,"control","control"
